geoname_id,name,admin1,country_code,latitude,longitude,population,timezone,default_last_frost,default_first_frost
683506,Bucharest,Bucuresti,RO,44.43225,26.10626,1877155,Europe/Bucharest,04-10,10-30
5128581,New York,New York,US,40.71427,-74.00597,8804190,America/New_York,04-15,11-10
5368361,Los Angeles,California,US,34.05223,-118.24368,3898747,America/Los_Angeles,02-15,12-15
4887398,Chicago,Illinois,US,41.85003,-87.65005,2746388,America/Chicago,05-05,10-20
4699066,Houston,Texas,US,29.76328,-95.36327,2304580,America/Chicago,02-20,12-05
4560349,Philadelphia,Pennsylvania,US,39.95233,-75.16379,1603797,America/New_York,04-20,10-30
5391811,San Diego,California,US,32.71533,-117.15726,1386932,America/Los_Angeles,02-01,12-20
5308655,Phoenix,Arizona,US,33.44838,-112.07404,1608139,America/Phoenix,02-15,12-10
5809844,Seattle,Washington,US,47.60621,-122.33207,737015,America/Los_Angeles,03-25,11-15
5419384,Denver,Colorado,US,39.73915,-104.98470,715522,America/Denver,05-10,10-05
4930956,Boston,Massachusetts,US,42.35843,-71.05977,675647,America/New_York,04-25,10-25
4140963,Washington,District of Columbia,US,38.89511,-77.03637,689545,America/New_York,04-10,11-05
2643743,London,England,GB,51.50853,-0.12574,8961989,Europe/London,04-10,11-05
2988507,Paris,Ile-de-France,FR,48.85341,2.34880,2138551,Europe/Paris,04-05,11-10
2950159,Berlin,Berlin,DE,52.52437,13.41053,3644826,Europe/Berlin,04-25,10-25
